MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
ENSG00000127838.12	a	g	60327.00	-0.075	0.9402	++-
ENSG00000136110.11	a	g	60327.00	-0.746	0.4557	--+
ENSG00000014914.18	a	g	60327.00	0.415	0.6782	-++
ENSG00000023445.12	a	g	60327.00	-0.228	0.82	--+
ENSG00000046889.17	a	g	60327.00	-1.102	0.2705	---
ENSG00000108651.8	a	g	60327.00	0.452	0.6513	-++
ENSG00000176692.5	a	g	60327.00	-0.730	0.4652	-+-
ENSG00000277075.1	a	g	60327.00	0.955	0.3395	+++
ENSG00000010327.9	a	g	60327.00	0.432	0.6657	-++
ENSG00000161640.14	a	g	60327.00	1.238	0.2156	+++
ENSG00000199566.1	a	g	60327.00	-1.055	0.2912	--+
ENSG00000222874.1	a	g	60327.00	0.339	0.735	++-
ENSG00000166171.11	a	g	60327.00	1.985	0.0471	+++
ENSG00000263905.2	a	g	60327.00	-1.788	0.07382	--+
ENSG00000166669.12	a	g	60327.00	-2.118	0.03416	---
ENSG00000140836.13	a	g	60327.00	-0.702	0.4829	--+
ENSG00000116459.9	a	g	60327.00	1.002	0.3162	-+-
ENSG00000172375.11	a	g	60327.00	1.111	0.2667	++-
ENSG00000137502.8	a	g	60327.00	-0.453	0.6507	+--
ENSG00000198718.11	a	g	60327.00	0.253	0.8002	-++
ENSG00000140259.6	a	g	60327.00	-0.103	0.918	+--
ENSG00000077721.14	a	g	60327.00	-0.855	0.3928	+--
ENSG00000103723.11	a	g	60327.00	1.651	0.09869	+++
ENSG00000083635.7	a	g	60327.00	-2.033	0.04203	---
ENSG00000051128.17	a	g	60327.00	-0.637	0.5241	-+-
ENSG00000164796.16	a	g	60327.00	1.380	0.1675	++-
ENSG00000112294.11	a	g	60327.00	0.412	0.6803	+--
ENSG00000167395.10	a	g	60327.00	-2.876	0.004022	---
ENSG00000071537.12	a	g	60327.00	-0.464	0.6429	++-
ENSG00000143387.11	a	g	60327.00	-0.071	0.9433	+-+
ENSG00000188352.11	a	g	60327.00	-2.043	0.04101	---
ENSG00000058799.12	a	g	60327.00	0.132	0.8948	-++
ENSG00000166924.7	a	g	60327.00	0.824	0.4102	-++
ENSG00000073008.13	a	g	60327.00	0.787	0.4313	++-
ENSG00000187079.13	a	g	60327.00	0.947	0.3439	++-
ENSG00000172935.8	a	g	60327.00	2.105	0.03526	-++
ENSG00000130699.15	a	g	60327.00	0.822	0.4112	++-
ENSG00000177340.5	a	g	60327.00	-0.259	0.7958	-+-
ENSG00000228981.3	a	g	60327.00	-0.517	0.6053	+-+
ENSG00000174408.8	a	g	60327.00	0.460	0.6453	+-+
ENSG00000139318.7	a	g	60327.00	0.904	0.3659	+-+
ENSG00000198604.9	a	g	60327.00	2.421	0.0155	+++
ENSG00000110723.10	a	g	60327.00	0.564	0.5726	+-+
ENSG00000266412.4	a	g	60327.00	0.109	0.9135	-++
ENSG00000183527.10	a	g	60327.00	1.898	0.05768	+++
ENSG00000095319.13	a	g	60327.00	-0.687	0.4924	-+-
ENSG00000127191.16	a	g	60327.00	-0.412	0.6802	--+
ENSG00000134253.8	a	g	60327.00	0.649	0.5162	+++
ENSG00000189060.5	a	g	60327.00	1.770	0.07681	+++
ENSG00000243160.1	a	g	60327.00	1.372	0.1699	+++
ENSG00000166002.5	a	g	60327.00	-2.459	0.01392	---
ENSG00000104863.10	a	g	60327.00	0.509	0.6109	--+
ENSG00000142484.6	a	g	60327.00	0.404	0.6859	+-+
ENSG00000262587.2	a	g	60327.00	-1.628	0.1036	--+
ENSG00000213390.9	a	g	60327.00	-1.147	0.2514	+--
ENSG00000207181.1	a	g	60327.00	1.566	0.1174	+++
ENSG00000145284.10	a	g	60327.00	-0.955	0.3394	-+-
ENSG00000166863.10	a	g	60327.00	0.416	0.6773	+-+
ENSG00000103222.17	a	g	60327.00	-0.711	0.4768	-+-
ENSG00000179859.7	a	g	60327.00	0.740	0.4593	+++
ENSG00000186891.12	a	g	60327.00	0.185	0.853	-+-
ENSG00000188428.15	a	g	60327.00	0.806	0.4202	+++
ENSG00000207960.1	a	g	60327.00	-1.107	0.2685	+--
ENSG00000156869.11	a	g	60327.00	-2.148	0.03171	--+
ENSG00000064651.12	a	g	60327.00	3.312	0.000927	+++
ENSG00000149403.10	a	g	60327.00	-2.328	0.01991	---
ENSG00000140465.12	a	g	60327.00	-0.382	0.7023	--+
ENSG00000179950.12	a	g	60327.00	-0.899	0.3684	--+
ENSG00000099203.5	a	g	60327.00	0.166	0.8684	++-
ENSG00000113300.10	a	g	60327.00	-1.014	0.3108	+--
ENSG00000115289.11	a	g	60327.00	-1.810	0.07035	---
ENSG00000206889.1	a	g	60327.00	-1.571	0.1163	---
ENSG00000240891.5	a	g	60327.00	-1.235	0.2168	---
ENSG00000173302.5	a	g	60327.00	-0.833	0.405	--+
ENSG00000124743.5	a	g	60327.00	1.143	0.2532	+++
ENSG00000202184.1	a	g	60327.00	0.203	0.8388	-++
ENSG00000136051.12	a	g	60327.00	0.385	0.6999	+-+
ENSG00000271360.1	a	g	60327.00	1.964	0.04956	+++
ENSG00000185267.8	a	g	60327.00	2.613	0.008983	+++
ENSG00000158555.13	a	g	60327.00	-0.472	0.6371	--+
ENSG00000111203.10	a	g	60327.00	-0.964	0.3349	---
ENSG00000178654.11	a	g	60327.00	2.390	0.01683	+++
ENSG00000115392.10	a	g	60327.00	-2.158	0.03092	---
ENSG00000066084.11	a	g	60327.00	-1.811	0.07012	-+-
ENSG00000042286.13	a	g	60327.00	2.266	0.02346	+++
ENSG00000186994.10	a	g	60327.00	1.109	0.2674	+++
ENSG00000252070.1	a	g	40223.00	1.860	0.06294	?++
ENSG00000197982.13	a	g	60327.00	0.631	0.528	+-+
ENSG00000228646.3	a	g	60327.00	0.253	0.8	--+
ENSG00000123545.5	a	g	60327.00	-2.786	0.005336	---
ENSG00000215375.5	a	g	60327.00	1.670	0.09499	+-+
ENSG00000196588.13	a	g	60327.00	-0.604	0.5458	+--
ENSG00000202374.1	a	g	20105.00	1.640	0.101	??+
ENSG00000172460.13	a	g	60327.00	-0.025	0.9804	-+-
ENSG00000180758.11	a	g	60327.00	-1.959	0.05016	---
ENSG00000088808.15	a	g	60327.00	1.754	0.07944	+++
ENSG00000150636.14	a	g	60327.00	1.323	0.1858	++-
ENSG00000172046.17	a	g	60327.00	-0.465	0.6422	+--
ENSG00000203737.3	a	g	60327.00	0.757	0.4493	-++
ENSG00000152705.7	a	g	60327.00	3.222	0.001271	+++
ENSG00000137203.9	a	g	60327.00	0.780	0.4355	+++
ENSG00000176014.11	a	g	60327.00	-0.078	0.9375	--+
ENSG00000206786.1	a	g	60327.00	0.358	0.7205	+-+
ENSG00000196408.10	a	g	60327.00	0.285	0.7753	--+
ENSG00000170091.9	a	g	60327.00	0.641	0.5214	++-
ENSG00000154227.12	a	g	60327.00	-1.887	0.05913	---
ENSG00000274523.3	a	g	60327.00	1.209	0.2266	+++
ENSG00000113211.5	a	g	20104.00	0.779	0.4358	+??
ENSG00000104835.13	a	g	60327.00	0.041	0.967	++-
ENSG00000199546.1	a	g	40222.00	-0.621	0.5343	+-?
ENSG00000176444.17	a	g	60327.00	0.815	0.415	+-+
ENSG00000178222.11	a	g	60327.00	2.779	0.00546	+++
ENSG00000122085.15	a	g	60327.00	-1.187	0.2352	+--
ENSG00000147437.8	a	g	60327.00	0.309	0.7572	-++
ENSG00000129534.12	a	g	60327.00	1.269	0.2045	+-+
ENSG00000202081.1	a	g	60327.00	1.285	0.1987	+++
ENSG00000130561.15	a	g	60327.00	0.166	0.8684	+-+
ENSG00000138496.15	a	g	60327.00	2.311	0.02083	+++
ENSG00000005102.11	a	g	60327.00	0.300	0.7639	-++
ENSG00000203727.3	a	g	60327.00	-0.077	0.9386	--+
ENSG00000103507.12	a	g	60327.00	1.097	0.2728	+++
ENSG00000160439.14	a	g	60327.00	-1.450	0.147	-+-
ENSG00000176900.2	a	g	60327.00	-1.671	0.09473	---
ENSG00000070388.10	a	g	60327.00	0.395	0.6925	++-
ENSG00000252361.1	a	g	60327.00	-0.313	0.7543	-+-
ENSG00000139656.6	a	g	60327.00	-0.622	0.534	-+-
ENSG00000179051.12	a	g	60327.00	-0.870	0.3841	---
ENSG00000011677.11	a	g	60327.00	-1.426	0.154	---
ENSG00000118655.4	a	g	60327.00	-0.215	0.83	++-
ENSG00000133739.14	a	g	60327.00	-2.257	0.02399	--+
ENSG00000109618.10	a	g	60327.00	2.294	0.02179	+++
ENSG00000254598.2	a	g	60327.00	1.714	0.08661	-++
ENSG00000136451.7	a	g	60327.00	0.108	0.9137	++-
ENSG00000103187.7	a	g	60327.00	1.979	0.04787	+++
ENSG00000147140.14	a	g	60327.00	0.532	0.5947	++-
ENSG00000197479.6	a	g	60327.00	-0.428	0.6687	--+
ENSG00000103194.14	a	g	60327.00	1.075	0.2823	+++
ENSG00000131650.12	a	g	60327.00	0.528	0.5972	++-
ENSG00000162736.14	a	g	60327.00	-1.065	0.287	+--
ENSG00000172031.6	a	g	60327.00	0.575	0.5655	+++
ENSG00000160683.4	a	g	60327.00	-0.902	0.367	--+
ENSG00000222640.1	a	g	60327.00	-0.399	0.6901	+--
ENSG00000168884.13	a	g	60327.00	0.506	0.6128	+++
ENSG00000133665.11	a	g	60327.00	0.258	0.7962	+-+
ENSG00000126249.6	a	g	60327.00	-1.095	0.2736	---
ENSG00000163519.12	a	g	60327.00	-1.954	0.05067	--+
ENSG00000181092.8	a	g	60327.00	1.328	0.1841	+-+
ENSG00000095951.15	a	g	60327.00	0.837	0.4024	+-+
ENSG00000127152.16	a	g	60327.00	0.150	0.8805	++-
ENSG00000237991.3	a	g	60327.00	-0.929	0.3527	--+
ENSG00000176953.9	a	g	60327.00	-0.638	0.5232	+--
ENSG00000106344.7	a	g	60327.00	0.236	0.8135	+--
ENSG00000139445.16	a	g	60327.00	0.339	0.7346	++-
ENSG00000206858.1	a	g	60327.00	-1.799	0.07209	---
ENSG00000176973.7	a	g	60327.00	2.702	0.006888	+++
ENSG00000079150.16	a	g	60327.00	-1.699	0.08936	---
ENSG00000058729.9	a	g	60327.00	-1.770	0.07679	+--
ENSG00000152404.14	a	g	60327.00	-1.041	0.2981	--+
ENSG00000132517.13	a	g	60327.00	1.210	0.2264	+++
ENSG00000198554.10	a	g	60327.00	0.793	0.4276	--+
ENSG00000178026.11	a	g	60327.00	1.578	0.1146	-++
ENSG00000198246.7	a	g	60327.00	-1.596	0.1105	---
ENSG00000155755.17	a	g	60327.00	-0.929	0.353	---
ENSG00000175274.17	a	g	60327.00	0.557	0.5773	++-
ENSG00000138085.15	a	g	60327.00	0.361	0.7182	-++
ENSG00000135698.8	a	g	60327.00	-1.573	0.1157	-+-
ENSG00000213057.5	a	g	60327.00	-1.381	0.1672	+--
ENSG00000144645.12	a	g	60327.00	0.616	0.5382	+-+
ENSG00000149557.11	a	g	60327.00	0.086	0.9318	+-+
ENSG00000175826.10	a	g	60327.00	-1.499	0.1339	+--
ENSG00000172901.18	a	g	60327.00	0.460	0.6457	-++
ENSG00000146109.4	a	g	60327.00	0.101	0.9199	+--
ENSG00000166368.2	a	g	60327.00	-1.108	0.2679	-+-
ENSG00000127603.22	a	g	60327.00	0.208	0.8353	-++
ENSG00000184613.9	a	g	60327.00	2.225	0.0261	++-
ENSG00000178927.15	a	g	60327.00	-0.233	0.8157	+--
ENSG00000064989.11	a	g	40222.00	-2.503	0.01232	--?
ENSG00000029363.14	a	g	60327.00	0.730	0.4652	-++
ENSG00000110696.8	a	g	60327.00	-0.084	0.9328	+--
ENSG00000104660.16	a	g	60327.00	-0.515	0.6065	++-
ENSG00000130037.4	a	g	60327.00	-0.538	0.5906	-++
ENSG00000167088.9	a	g	60327.00	0.731	0.4648	+-+
ENSG00000206075.12	a	g	60327.00	-0.312	0.7549	-+-
ENSG00000125755.17	a	g	60327.00	-0.334	0.7386	+--
ENSG00000157119.11	a	g	60327.00	1.279	0.2009	+++
ENSG00000107859.8	a	g	60327.00	0.953	0.3405	+++
ENSG00000252370.1	a	g	60327.00	1.413	0.1576	-++
ENSG00000180611.6	a	g	60327.00	-2.907	0.003645	---
ENSG00000198836.7	a	g	60327.00	3.960	7.503e-05	+++
ENSG00000122025.13	a	g	60327.00	-0.133	0.8944	++-
ENSG00000162851.7	a	g	60327.00	-1.100	0.2713	-+-
ENSG00000172478.16	a	g	60327.00	2.347	0.01893	+++
ENSG00000128713.12	a	g	60327.00	1.742	0.08152	+++
ENSG00000121594.10	a	g	60327.00	-1.238	0.2156	-+-
ENSG00000119685.18	a	g	60327.00	-3.088	0.002014	-+-
ENSG00000203668.1	a	g	60327.00	-1.935	0.05304	---
ENSG00000101746.14	a	g	60327.00	-1.206	0.2278	---
ENSG00000048028.10	a	g	60327.00	-0.877	0.3805	---
ENSG00000140948.10	a	g	60327.00	1.423	0.1547	+--
ENSG00000241003.1	a	g	60327.00	2.085	0.03706	+-+
ENSG00000174453.8	a	g	60327.00	-0.363	0.7169	+--
ENSG00000143033.16	a	g	60327.00	1.254	0.2099	+++
ENSG00000110013.11	a	g	60327.00	0.091	0.9271	+-+
ENSG00000172324.4	a	g	60327.00	0.030	0.976	+-+
ENSG00000230507.5	a	g	60327.00	-0.385	0.7002	-++
ENSG00000200483.1	a	g	60327.00	-0.700	0.4838	+--
ENSG00000073756.10	a	g	60327.00	-0.333	0.7391	++-
ENSG00000162511.7	a	g	60327.00	-0.622	0.5342	+--
ENSG00000206838.1	a	g	60327.00	-2.316	0.02058	--+
ENSG00000006451.6	a	g	60327.00	1.231	0.2184	++-
ENSG00000251781.1	a	g	60327.00	0.699	0.4843	++-
ENSG00000215305.8	a	g	60327.00	0.820	0.4124	+++
ENSG00000146618.3	a	g	60327.00	-0.366	0.7142	-++
ENSG00000158805.10	a	g	60327.00	0.456	0.6482	+--
ENSG00000182093.13	a	g	60327.00	0.661	0.5087	++-
ENSG00000012983.10	a	g	60327.00	2.971	0.002965	+++
ENSG00000198546.13	a	g	60327.00	-0.572	0.5676	+--
ENSG00000166693.7	a	g	60327.00	-2.452	0.0142	---
ENSG00000173227.12	a	g	60327.00	-2.054	0.03993	---
ENSG00000179981.9	a	g	60327.00	2.338	0.0194	+++
ENSG00000138430.14	a	g	60327.00	1.553	0.1203	-++
ENSG00000164142.14	a	g	60327.00	-2.450	0.0143	-+-
ENSG00000183171.5	a	g	60327.00	-0.877	0.3806	---
ENSG00000126233.1	a	g	60327.00	-0.583	0.5596	--+
ENSG00000142910.14	a	g	60327.00	1.348	0.1778	+-+
ENSG00000158089.13	a	g	60327.00	1.502	0.133	+++
ENSG00000158480.9	a	g	60327.00	-0.510	0.6097	+--
ENSG00000129422.12	a	g	60327.00	1.336	0.1816	+++
ENSG00000124203.5	a	g	60327.00	1.246	0.2129	+++
ENSG00000172733.11	a	g	60327.00	0.530	0.5961	-++
ENSG00000067225.16	a	g	60327.00	2.416	0.01568	+++
ENSG00000182287.12	a	g	60327.00	-3.234	0.001221	---
ENSG00000198231.11	a	g	60327.00	1.739	0.082	+++
ENSG00000203664.6	a	g	60327.00	1.989	0.04674	+++
ENSG00000140718.17	a	g	60327.00	-0.786	0.432	---
ENSG00000173250.2	a	g	60327.00	-0.292	0.7701	---
ENSG00000260630.5	a	g	60327.00	0.265	0.7907	+--
ENSG00000105204.12	a	g	60327.00	-0.747	0.4554	--+
ENSG00000184068.2	a	g	60327.00	-0.425	0.6705	--+
ENSG00000185650.9	a	g	60327.00	0.188	0.8511	+--
ENSG00000253739.1	a	g	60327.00	0.444	0.6573	+-+
ENSG00000186834.3	a	g	60327.00	0.513	0.6076	+-+
ENSG00000256826.1	a	g	60327.00	3.400	0.000674	+++
ENSG00000177045.7	a	g	60327.00	1.656	0.09772	+++
ENSG00000116031.8	a	g	60327.00	0.314	0.7536	+-+
ENSG00000184956.14	a	g	60327.00	0.370	0.7111	++-
ENSG00000151136.13	a	g	60327.00	-0.988	0.3229	---
ENSG00000087245.11	a	g	60327.00	1.302	0.193	+++
ENSG00000156886.11	a	g	60327.00	-1.972	0.04859	---
ENSG00000100353.16	a	g	60327.00	0.249	0.8032	+-+
ENSG00000132334.15	a	g	60327.00	0.173	0.8627	--+
ENSG00000162783.10	a	g	60327.00	0.073	0.9416	-+-
ENSG00000254835.1	a	g	60327.00	-2.293	0.02182	---
ENSG00000005206.15	a	g	60327.00	2.111	0.03478	+++
ENSG00000125818.16	a	g	60327.00	-0.955	0.3396	---
ENSG00000131626.14	a	g	60327.00	2.317	0.02052	+++
ENSG00000100888.11	a	g	60327.00	-0.000	0.9996	++-
ENSG00000140600.15	a	g	60327.00	-0.058	0.9535	+--
ENSG00000144791.8	a	g	60327.00	0.593	0.5535	++-
ENSG00000161618.8	a	g	60327.00	0.459	0.646	+-+
ENSG00000172380.5	a	g	60327.00	1.309	0.1907	+++
ENSG00000198646.12	a	g	60327.00	1.422	0.1549	++-
ENSG00000104133.13	a	g	60327.00	0.246	0.8057	++-
ENSG00000173120.13	a	g	60327.00	1.011	0.3122	++-
ENSG00000106367.12	a	g	60327.00	0.365	0.7149	+++
ENSG00000148248.12	a	g	60327.00	1.139	0.2548	-++
ENSG00000122694.14	a	g	60327.00	-0.624	0.5327	-++
ENSG00000147852.14	a	g	60327.00	0.927	0.3541	-++
ENSG00000132821.10	a	g	60327.00	1.542	0.1232	+-+
ENSG00000143318.11	a	g	60327.00	0.323	0.7465	--+
ENSG00000103047.6	a	g	60327.00	0.424	0.6715	-+-
ENSG00000151322.17	a	g	60327.00	1.328	0.1841	+++
ENSG00000164761.7	a	g	40209.00	0.340	0.734	+?-
ENSG00000077713.17	a	g	60327.00	1.623	0.1046	+++
ENSG00000158023.8	a	g	60327.00	1.034	0.3013	+++
ENSG00000253537.2	a	g	60327.00	-0.111	0.9118	+-+
ENSG00000101608.11	a	g	60327.00	-2.294	0.02178	---
ENSG00000116157.5	a	g	60327.00	0.547	0.5843	++-
ENSG00000242894.3	a	g	60327.00	0.089	0.9292	-++
ENSG00000099960.11	a	g	60327.00	0.039	0.9691	-++
ENSG00000160325.13	a	g	60327.00	0.726	0.4679	+++
ENSG00000243775.2	a	g	60327.00	-1.307	0.1912	---
ENSG00000048828.15	a	g	60327.00	0.077	0.9385	--+
ENSG00000174840.8	a	g	60327.00	0.809	0.4185	++-
ENSG00000206743.1	a	g	60327.00	-0.065	0.9483	-+-
ENSG00000164744.11	a	g	60327.00	0.808	0.419	-++
ENSG00000134590.12	a	g	60327.00	-0.272	0.7857	+--
ENSG00000011007.11	a	g	60327.00	0.518	0.6045	+--
ENSG00000129474.14	a	g	60327.00	1.131	0.2579	-++
ENSG00000139684.12	a	g	60327.00	-1.186	0.2357	-+-
ENSG00000099889.12	a	g	60327.00	1.880	0.06017	+++
ENSG00000116852.13	a	g	60327.00	-1.050	0.2938	+--
ENSG00000100678.17	a	g	60327.00	0.081	0.9356	-++
ENSG00000051382.7	a	g	60327.00	1.635	0.102	+++
ENSG00000165060.10	a	g	60327.00	1.022	0.3067	++-
ENSG00000169976.6	a	g	60327.00	-0.506	0.6125	-+-
ENSG00000179943.7	a	g	60327.00	0.100	0.9207	+-+
ENSG00000187642.8	a	g	60327.00	-0.472	0.637	---
ENSG00000183098.9	a	g	60327.00	-0.217	0.8278	-++
ENSG00000014641.16	a	g	60327.00	-1.006	0.3145	-+-
ENSG00000196639.6	a	g	60327.00	1.064	0.2876	-+-
ENSG00000185821.3	a	g	60327.00	-0.638	0.5238	---
ENSG00000199077.2	a	g	60327.00	0.020	0.9843	-+-
ENSG00000157131.10	a	g	60327.00	-0.813	0.4161	---
ENSG00000010256.9	a	g	60327.00	-1.015	0.3101	---
ENSG00000009950.14	a	g	60327.00	-0.605	0.5455	++-
ENSG00000163485.14	a	g	60327.00	0.430	0.6672	++-
ENSG00000159079.17	a	g	60327.00	-0.578	0.5636	+-+
ENSG00000199426.1	a	g	60327.00	-0.164	0.8698	+--
ENSG00000007545.14	a	g	60327.00	1.319	0.1872	+++
ENSG00000140451.11	a	g	60327.00	-0.366	0.7141	+-+
ENSG00000125741.4	a	g	60327.00	-0.874	0.3823	-+-
ENSG00000059573.7	a	g	60327.00	1.224	0.221	+++
ENSG00000145975.12	a	g	60327.00	0.477	0.6337	-++
ENSG00000183597.14	a	g	60327.00	-1.754	0.07944	--+
ENSG00000128965.10	a	g	60327.00	-0.464	0.6428	+--
ENSG00000201596.1	a	g	60327.00	-1.409	0.1589	-+-
ENSG00000165512.4	a	g	60327.00	0.764	0.4447	++-
ENSG00000252034.1	a	g	60327.00	-1.082	0.2793	-++
ENSG00000100077.13	a	g	60327.00	-0.367	0.7136	---
ENSG00000124786.9	a	g	60327.00	-0.900	0.3683	---
ENSG00000166261.9	a	g	60327.00	-1.812	0.06996	---
ENSG00000251996.1	a	g	60327.00	20.383	2.36e-92	+++
ENSG00000177494.5	a	g	60327.00	-0.522	0.6018	-+-
ENSG00000143157.10	a	g	60327.00	-0.554	0.5799	-+-
ENSG00000066336.10	a	g	60327.00	0.413	0.6795	-++
ENSG00000101882.8	a	g	60327.00	-0.010	0.9918	+-+
ENSG00000183735.8	a	g	60327.00	1.498	0.1342	+++
ENSG00000243856.3	a	g	60327.00	-0.849	0.3961	+--
ENSG00000104343.18	a	g	60327.00	-1.374	0.1694	---
ENSG00000165338.15	a	g	60327.00	0.169	0.8657	+--
ENSG00000115339.12	a	g	60327.00	0.831	0.4057	-++
ENSG00000197753.8	a	g	60327.00	0.815	0.4151	+-+
ENSG00000266794.2	a	g	60327.00	-0.206	0.837	--+
ENSG00000167183.2	a	g	60327.00	0.958	0.338	++-
ENSG00000222312.1	a	g	60327.00	-0.393	0.6946	+--
ENSG00000176246.1	a	g	60327.00	0.119	0.9051	+--
ENSG00000173960.11	a	g	60327.00	1.184	0.2364	+++
ENSG00000170801.8	a	g	60327.00	0.661	0.5085	+-+
ENSG00000129988.5	a	g	60327.00	0.796	0.4263	+-+
ENSG00000139233.5	a	g	60327.00	0.982	0.3262	+++
ENSG00000212378.1	a	g	60327.00	-0.307	0.7586	+--
ENSG00000091732.14	a	g	60327.00	-0.054	0.9572	+--
ENSG00000132024.16	a	g	60327.00	1.364	0.1725	-++
ENSG00000124440.14	a	g	60327.00	-0.103	0.9176	--+
ENSG00000184277.11	a	g	60327.00	1.019	0.308	+++
ENSG00000225637.1	a	g	60327.00	-0.409	0.6823	-+-
ENSG00000036672.14	a	g	60327.00	-1.548	0.1215	---
ENSG00000138867.15	a	g	60327.00	2.296	0.0217	+-+
ENSG00000173801.15	a	g	60327.00	-0.090	0.9285	--+
ENSG00000025796.12	a	g	60327.00	2.834	0.004599	+++
ENSG00000197580.10	a	g	60327.00	-0.039	0.9686	-++
ENSG00000154813.8	a	g	60327.00	0.549	0.5831	-++
ENSG00000171735.17	a	g	60327.00	0.501	0.6164	-++
ENSG00000138363.13	a	g	60327.00	2.325	0.02008	+++
ENSG00000178814.14	a	g	60327.00	0.414	0.6787	--+
ENSG00000262420.3	a	g	60327.00	1.069	0.285	-++
ENSG00000090932.9	a	g	60327.00	1.745	0.08103	+++
ENSG00000262519.1	a	g	60327.00	1.002	0.3166	-++
ENSG00000127955.14	a	g	60327.00	-3.564	0.0003647	---
ENSG00000064726.8	a	g	60327.00	0.063	0.9496	++-
ENSG00000146070.15	a	g	60327.00	-1.263	0.2067	---
ENSG00000188909.4	a	g	60327.00	2.172	0.02985	+++
ENSG00000124532.13	a	g	60327.00	2.952	0.003155	+++
ENSG00000146243.12	a	g	60327.00	0.047	0.9622	--+
ENSG00000149806.9	a	g	60327.00	-1.152	0.2492	-++
ENSG00000163933.8	a	g	60327.00	0.951	0.3417	+-+
ENSG00000197381.14	a	g	60327.00	-0.550	0.5826	-+-
ENSG00000183150.6	a	g	60327.00	1.451	0.1468	++-
ENSG00000234790.1	a	g	60327.00	-0.547	0.5843	-++
ENSG00000180251.4	a	g	60327.00	0.477	0.6332	++-
ENSG00000183291.14	a	g	60327.00	-0.614	0.5389	-+-
ENSG00000117305.13	a	g	60327.00	-1.775	0.07587	---
ENSG00000249915.6	a	g	60327.00	-1.393	0.1636	-+-
ENSG00000168348.3	a	g	60327.00	1.743	0.08128	++-
ENSG00000201942.1	a	g	60327.00	-2.029	0.04242	---
ENSG00000133317.13	a	g	60327.00	-0.224	0.8227	-++
ENSG00000153006.13	a	g	60327.00	1.762	0.07808	-++
ENSG00000177728.13	a	g	60327.00	-1.280	0.2006	---
ENSG00000102921.6	a	g	60327.00	-0.978	0.3283	---
ENSG00000100532.10	a	g	60327.00	-0.213	0.8317	-+-
ENSG00000075785.11	a	g	60327.00	-2.026	0.04281	-+-
ENSG00000157741.13	a	g	60327.00	-1.001	0.317	---
ENSG00000173218.13	a	g	60327.00	0.378	0.7052	--+
ENSG00000182580.2	a	g	60327.00	0.151	0.8803	+++
ENSG00000153933.8	a	g	60327.00	2.214	0.02685	+++
ENSG00000158526.7	a	g	60327.00	-1.849	0.06443	---
ENSG00000055118.13	a	g	60327.00	0.280	0.7792	++-
ENSG00000103313.10	a	g	60327.00	-1.311	0.1899	---
ENSG00000180549.7	a	g	60327.00	0.658	0.5104	-++
ENSG00000146859.6	a	g	60327.00	0.114	0.9096	+-+
ENSG00000135766.8	a	g	60327.00	1.666	0.09566	+++
ENSG00000159618.14	a	g	60327.00	-1.794	0.07278	---
ENSG00000141448.7	a	g	60327.00	1.004	0.3156	++-
ENSG00000280278.1	a	g	60327.00	-1.300	0.1936	-+-
ENSG00000196866.2	a	g	60327.00	1.331	0.1832	+++
ENSG00000199585.1	a	g	60327.00	0.132	0.8946	--+
ENSG00000188938.14	a	g	60327.00	0.997	0.3185	+++
ENSG00000164221.11	a	g	60327.00	0.302	0.7623	+-+
ENSG00000108107.11	a	g	60327.00	-2.073	0.03814	---
ENSG00000181781.8	a	g	60327.00	1.346	0.1782	+-+
ENSG00000115107.18	a	g	60327.00	0.544	0.5864	-++
ENSG00000169598.14	a	g	60327.00	1.263	0.2066	+++
ENSG00000137760.13	a	g	60327.00	0.356	0.722	+--
ENSG00000186056.8	a	g	60327.00	-0.649	0.516	-++
ENSG00000238901.1	a	g	60327.00	-0.432	0.6654	-+-
ENSG00000272980.3	a	g	60327.00	-0.374	0.7082	-++
ENSG00000081985.9	a	g	60327.00	-0.512	0.6086	-+-
ENSG00000156804.6	a	g	60327.00	-1.653	0.09826	-+-
ENSG00000222164.1	a	g	60327.00	-1.642	0.1005	+--
ENSG00000034693.13	a	g	60327.00	1.075	0.2822	++-
ENSG00000101928.11	a	g	60327.00	0.989	0.3228	-++
ENSG00000121089.4	a	g	60327.00	0.734	0.463	+++
ENSG00000174718.10	a	g	60327.00	-2.489	0.01281	--+
ENSG00000252422.1	a	g	60327.00	0.330	0.7416	++-
ENSG00000173068.16	a	g	60327.00	-0.527	0.5981	++-
ENSG00000083290.18	a	g	60327.00	4.635	3.571e-06	+++
ENSG00000134453.14	a	g	60327.00	0.676	0.499	+++
ENSG00000196335.11	a	g	20118.00	0.460	0.6454	?+?
ENSG00000140832.8	a	g	60327.00	0.590	0.5551	-+-
ENSG00000184601.9	a	g	60327.00	0.490	0.6245	-++
ENSG00000181481.12	a	g	60327.00	1.559	0.1189	+-+
ENSG00000080815.17	a	g	60327.00	0.384	0.7009	++-
ENSG00000281796.1	a	g	60327.00	-0.396	0.6919	---
ENSG00000187049.8	a	g	60327.00	-1.458	0.1449	---
ENSG00000200745.1	a	g	40222.00	1.392	0.1639	+-?
ENSG00000058272.14	a	g	60327.00	-0.615	0.5388	--+
ENSG00000201875.1	a	g	60327.00	0.259	0.7955	++-
ENSG00000158270.11	a	g	60327.00	0.585	0.5582	++-
ENSG00000120662.14	a	g	60327.00	0.603	0.5462	+++
