MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
ENSG00000201000.1	a	g	60327.00	-0.313	0.7541	-+-
ENSG00000183067.5	a	g	60327.00	0.539	0.5897	+-+
ENSG00000118518.14	a	g	60327.00	0.234	0.815	++-
ENSG00000089685.13	a	g	60327.00	1.682	0.09249	+-+
ENSG00000131507.10	a	g	60327.00	-1.457	0.1451	-+-
ENSG00000135862.5	a	g	60327.00	-0.720	0.4714	--+
ENSG00000120278.13	a	g	60327.00	0.338	0.7353	--+
ENSG00000165462.5	a	g	60327.00	-0.720	0.4714	-++
ENSG00000174151.13	a	g	60327.00	0.866	0.3865	+++
ENSG00000223959.7	a	g	60327.00	-1.294	0.1956	---
ENSG00000175727.12	a	g	60327.00	-1.798	0.07225	---
ENSG00000254658.2	a	g	60327.00	-1.281	0.2001	-+-
ENSG00000175809.4	a	g	60327.00	-0.611	0.5409	-+-
ENSG00000111328.5	a	g	60327.00	1.235	0.2169	-++
ENSG00000196646.10	a	g	60327.00	0.408	0.6833	+-+
ENSG00000109171.13	a	g	60327.00	-2.147	0.03179	---
ENSG00000172985.10	a	g	60327.00	-0.728	0.4668	---
ENSG00000164430.14	a	g	60327.00	0.292	0.7704	--+
ENSG00000160551.8	a	g	60327.00	0.447	0.6548	+-+
ENSG00000213085.8	a	g	60327.00	-1.070	0.2847	--+
ENSG00000168010.9	a	g	60327.00	0.033	0.974	++-
ENSG00000147475.13	a	g	60327.00	0.507	0.612	-++
ENSG00000177054.12	a	g	60327.00	2.164	0.03047	++-
ENSG00000160908.14	a	g	60327.00	1.061	0.2886	++-
ENSG00000222941.2	a	g	60327.00	-1.993	0.04626	---
ENSG00000180433.4	a	g	40209.00	0.669	0.5032	+?+
ENSG00000114126.16	a	g	60327.00	0.141	0.888	++-
ENSG00000253313.4	a	g	60327.00	-1.579	0.1144	---
ENSG00000166444.16	a	g	60327.00	0.518	0.6044	++-
ENSG00000199319.1	a	g	60327.00	-0.555	0.5789	+--
ENSG00000108582.10	a	g	60327.00	-1.874	0.06092	---
ENSG00000184983.8	a	g	60327.00	-0.523	0.601	-+-
ENSG00000110917.6	a	g	60327.00	-0.112	0.9111	-+-
ENSG00000142515.13	a	g	60327.00	0.178	0.8584	++-
ENSG00000134516.14	a	g	60327.00	0.140	0.8884	-+-
ENSG00000170558.7	a	g	60327.00	0.096	0.9236	--+
ENSG00000174521.7	a	g	60327.00	0.701	0.483	+++
ENSG00000118369.11	a	g	60327.00	-0.910	0.3631	+--
ENSG00000205358.3	a	g	60327.00	-2.804	0.005047	---
ENSG00000159479.15	a	g	60327.00	-0.460	0.6458	+--
ENSG00000172724.10	a	g	60327.00	-1.605	0.1085	---
ENSG00000103495.12	a	g	60327.00	0.418	0.6756	++-
ENSG00000121552.3	a	g	60327.00	-0.071	0.9431	+-+
ENSG00000252401.1	a	g	60327.00	1.224	0.2211	+++
ENSG00000149716.11	a	g	60327.00	2.469	0.01354	+++
ENSG00000241774.3	a	g	60327.00	0.930	0.3522	++-
ENSG00000254470.2	a	g	60327.00	0.516	0.6059	++-
ENSG00000111215.10	a	g	60327.00	0.042	0.9664	--+
ENSG00000128039.9	a	g	60327.00	-0.913	0.3614	---
ENSG00000157500.9	a	g	60327.00	4.670	3.006e-06	+++
ENSG00000182195.7	a	g	60327.00	3.082	0.002059	+++
ENSG00000181722.14	a	g	60327.00	-0.628	0.53	---
ENSG00000179615.1	a	g	60327.00	-1.109	0.2673	+--
ENSG00000124795.13	a	g	60327.00	-0.048	0.9618	-++
ENSG00000203778.6	a	g	60327.00	-1.134	0.2569	-+-
ENSG00000127561.13	a	g	60327.00	0.719	0.4723	+++
ENSG00000161509.12	a	g	60327.00	0.712	0.4765	+++
ENSG00000205838.11	a	g	40223.00	1.873	0.06105	?++
ENSG00000176170.12	a	g	60327.00	0.855	0.3928	+++
ENSG00000163098.4	a	g	60327.00	2.473	0.01341	+++
ENSG00000156162.15	a	g	60327.00	0.687	0.4921	+++
ENSG00000189056.12	a	g	60327.00	0.353	0.7243	++-
ENSG00000120088.13	a	g	60327.00	0.590	0.5555	+++
ENSG00000265145.1	a	g	60327.00	0.662	0.5077	++-
ENSG00000140199.10	a	g	60327.00	-1.252	0.2106	+--
ENSG00000162105.15	a	g	60327.00	0.172	0.8636	--+
ENSG00000188512.6	a	g	60327.00	-2.348	0.01887	-+-
ENSG00000167136.6	a	g	60327.00	-0.195	0.8451	+-+
ENSG00000205857.1	a	g	60327.00	0.855	0.3926	-++
ENSG00000141194.5	a	g	60327.00	-0.526	0.599	+--
ENSG00000252313.1	a	g	60327.00	-0.054	0.9571	+-+
ENSG00000170734.10	a	g	60327.00	0.496	0.6198	++-
ENSG00000114374.11	a	g	60327.00	21.278	1.80e-100	+++
ENSG00000111913.14	a	g	60327.00	-0.618	0.5366	-+-
ENSG00000176125.4	a	g	60327.00	0.853	0.3937	+++
ENSG00000243274.3	a	g	60327.00	1.683	0.0924	+-+
ENSG00000206644.1	a	g	60327.00	-0.547	0.5841	--+
ENSG00000166532.14	a	g	60327.00	-0.241	0.8097	-++
ENSG00000231160.8	a	g	60327.00	-1.673	0.09427	-+-
ENSG00000178607.14	a	g	60327.00	-0.843	0.399	-+-
ENSG00000179600.3	a	g	60327.00	-1.247	0.2124	---
ENSG00000155252.13	a	g	60327.00	0.727	0.4675	-++
ENSG00000124399.4	a	g	60327.00	2.122	0.03382	+++
ENSG00000158941.15	a	g	60327.00	1.277	0.2014	+-+
ENSG00000065057.6	a	g	60327.00	-0.531	0.5953	--+
ENSG00000107593.16	a	g	60327.00	0.747	0.4552	++-
ENSG00000110076.17	a	g	60327.00	0.635	0.5253	-++
