MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
ENSG00000172724.10	a	g	60327.00	1.259	0.2081	+++
ENSG00000103495.12	a	g	60327.00	-1.850	0.06438	---
ENSG00000121552.3	a	g	60327.00	-1.595	0.1107	-+-
ENSG00000252401.1	a	g	60327.00	0.512	0.6085	-++
ENSG00000254470.2	a	g	60327.00	0.006	0.995	+--
ENSG00000149716.11	a	g	60327.00	0.465	0.6416	+++
ENSG00000241774.3	a	g	60327.00	-0.922	0.3566	---
ENSG00000111215.10	a	g	60327.00	-1.616	0.1062	--+
ENSG00000128039.9	a	g	60327.00	-1.447	0.1478	---
ENSG00000157500.9	a	g	60327.00	1.954	0.05066	+++
ENSG00000181722.14	a	g	60327.00	2.544	0.01096	+++
ENSG00000182195.7	a	g	60327.00	-0.827	0.4082	--+
ENSG00000179615.1	a	g	60327.00	0.116	0.9073	++-
ENSG00000124795.13	a	g	60327.00	1.452	0.1464	+++
ENSG00000203778.6	a	g	60327.00	1.693	0.09039	++-
ENSG00000127561.13	a	g	60327.00	-0.929	0.3531	---
ENSG00000161509.12	a	g	60327.00	-0.306	0.7598	-++
ENSG00000205838.11	a	g	40223.00	2.204	0.02753	?++
ENSG00000176170.12	a	g	60327.00	1.270	0.204	++-
ENSG00000163098.4	a	g	60327.00	-0.716	0.4738	-+-
ENSG00000156162.15	a	g	60327.00	0.307	0.7588	+-+
ENSG00000120088.13	a	g	60327.00	-0.163	0.8709	--+
ENSG00000189056.12	a	g	60327.00	-0.632	0.5275	--+
ENSG00000265145.1	a	g	60327.00	2.050	0.04037	+++
ENSG00000140199.10	a	g	60327.00	-2.204	0.02753	---
ENSG00000162105.15	a	g	60327.00	-0.248	0.8045	-+-
ENSG00000188512.6	a	g	60327.00	-0.239	0.811	-+-
ENSG00000167136.6	a	g	60327.00	1.688	0.0915	-++
ENSG00000205857.1	a	g	60327.00	1.503	0.1327	+++
ENSG00000141194.5	a	g	60327.00	0.100	0.9205	+--
ENSG00000252313.1	a	g	60327.00	0.219	0.8264	++-
ENSG00000170734.10	a	g	60327.00	0.428	0.6689	++-
ENSG00000114374.11	a	g	60327.00	21.704	1.87e-104	+++
ENSG00000111913.14	a	g	60327.00	-0.261	0.7942	++-
ENSG00000176125.4	a	g	60327.00	-1.053	0.2923	---
ENSG00000243274.3	a	g	60327.00	-0.421	0.6741	+--
ENSG00000206644.1	a	g	60327.00	0.018	0.9855	-++
ENSG00000166532.14	a	g	60327.00	-0.455	0.6494	-+-
ENSG00000231160.8	a	g	60327.00	-1.585	0.113	---
ENSG00000178607.14	a	g	60327.00	-0.311	0.756	--+
ENSG00000179600.3	a	g	60327.00	0.438	0.6616	+--
ENSG00000155252.13	a	g	60327.00	0.646	0.5183	+++
ENSG00000124399.4	a	g	60327.00	0.102	0.9185	+-+
ENSG00000158941.15	a	g	60327.00	0.122	0.9032	+--
ENSG00000065057.6	a	g	60327.00	-0.810	0.4178	-+-
ENSG00000107593.16	a	g	60327.00	-0.507	0.6123	++-
ENSG00000110076.17	a	g	60327.00	-0.112	0.9108	-++
ENSG00000138686.8	a	g	60327.00	-0.582	0.5603	--+
ENSG00000163848.17	a	g	60327.00	2.709	0.00674	+++
ENSG00000187790.9	a	g	60327.00	2.049	0.04043	+++
ENSG00000109180.13	a	g	60327.00	2.498	0.01249	+++
ENSG00000199313.1	a	g	60327.00	0.094	0.9251	+--
ENSG00000108021.18	a	g	60327.00	0.016	0.9876	-+-
ENSG00000118990.5	a	g	60327.00	-0.304	0.7611	--+
ENSG00000167757.12	a	g	60327.00	-0.372	0.71	-+-
ENSG00000006015.16	a	g	60327.00	-1.820	0.06878	---
ENSG00000197601.11	a	g	60327.00	1.038	0.2994	+-+
ENSG00000166363.5	a	g	40223.00	0.826	0.4089	?++
ENSG00000168067.10	a	g	60327.00	0.301	0.7637	++-
ENSG00000157510.12	a	g	60327.00	1.057	0.2903	-++
ENSG00000100906.9	a	g	60327.00	-0.545	0.5855	-+-
ENSG00000275460.1	a	g	60327.00	0.921	0.357	++-
ENSG00000252783.1	a	g	60327.00	-0.114	0.9091	++-
ENSG00000147174.10	a	g	60327.00	-1.903	0.05706	+--
ENSG00000206764.1	a	g	60327.00	-0.020	0.9839	+-+
ENSG00000143669.12	a	g	60327.00	-1.053	0.2926	+--
ENSG00000175643.8	a	g	60327.00	-0.135	0.8925	+-+
ENSG00000164919.9	a	g	60327.00	1.766	0.07739	++-
ENSG00000141401.10	a	g	60327.00	0.712	0.4765	+-+
ENSG00000154920.13	a	g	60327.00	0.262	0.7934	-+-
ENSG00000117281.14	a	g	60327.00	-0.054	0.9569	++-
ENSG00000130958.10	a	g	60327.00	-0.439	0.6606	+--
ENSG00000119953.11	a	g	60327.00	1.729	0.08384	+++
ENSG00000169217.7	a	g	60327.00	1.045	0.2961	+++
ENSG00000198399.13	a	g	60327.00	-1.340	0.1803	---
ENSG00000031823.13	a	g	60327.00	0.320	0.7489	+--
ENSG00000108551.4	a	g	60327.00	0.107	0.9151	-+-
ENSG00000204839.7	a	g	60327.00	-0.154	0.8778	-++
ENSG00000242999.3	a	g	60327.00	-3.056	0.002244	---
ENSG00000135917.12	a	g	60327.00	2.089	0.0367	+++
ENSG00000099797.10	a	g	60327.00	0.565	0.572	-++
ENSG00000005189.18	a	g	60327.00	-0.199	0.842	-+-
ENSG00000196395.7	a	g	60327.00	-0.388	0.698	-+-
ENSG00000214827.8	a	g	60327.00	0.914	0.3606	+-+
ENSG00000101220.16	a	g	60327.00	-2.000	0.0455	---
ENSG00000177030.15	a	g	60327.00	0.163	0.8707	-++
ENSG00000169550.11	a	g	40222.00	0.431	0.6668	-+?
ENSG00000201592.1	a	g	60327.00	-8.717	2.864e-18	---
ENSG00000145029.10	a	g	60327.00	-0.659	0.5097	+--
ENSG00000188060.6	a	g	60327.00	-1.157	0.2471	---
ENSG00000159387.7	a	g	60327.00	0.549	0.5832	--+
ENSG00000164038.13	a	g	60327.00	-0.658	0.5104	-+-
ENSG00000165678.18	a	g	60327.00	2.103	0.03542	+++
ENSG00000123191.12	a	g	60327.00	0.936	0.3493	-++
ENSG00000119396.9	a	g	60327.00	-0.498	0.6187	-++
ENSG00000206739.1	a	g	60327.00	0.458	0.6471	+-+
ENSG00000106868.15	a	g	60327.00	-1.528	0.1266	---
ENSG00000180016.2	a	g	60327.00	0.047	0.9629	-+-
ENSG00000155545.18	a	g	60327.00	0.486	0.6266	++-
ENSG00000137252.8	a	g	60327.00	1.728	0.08401	+++
ENSG00000173272.12	a	g	60327.00	-0.554	0.5794	-+-
ENSG00000178826.9	a	g	60327.00	-0.843	0.3993	---
ENSG00000175414.6	a	g	60327.00	0.779	0.4362	-++
ENSG00000101574.13	a	g	60327.00	2.027	0.04267	++-
ENSG00000166508.16	a	g	60327.00	-0.649	0.5161	-+-
ENSG00000177875.4	a	g	60327.00	1.734	0.08287	+++
ENSG00000132294.12	a	g	60327.00	2.937	0.003317	+++
ENSG00000243955.4	a	g	60327.00	-0.597	0.5503	-++
ENSG00000128052.8	a	g	60327.00	0.321	0.7479	-++
ENSG00000039319.15	a	g	60327.00	-1.346	0.1784	+--
ENSG00000215452.3	a	g	60327.00	0.192	0.8481	++-
ENSG00000162368.12	a	g	60327.00	2.631	0.008519	+++
ENSG00000101188.4	a	g	60327.00	-2.794	0.0052	---
ENSG00000142511.4	a	g	60327.00	1.496	0.1347	+++
ENSG00000241128.1	a	g	60327.00	-1.163	0.2448	---
ENSG00000165376.9	a	g	60327.00	-0.997	0.3186	--+
ENSG00000148704.11	a	g	60327.00	1.330	0.1836	+-+
ENSG00000136982.5	a	g	60327.00	0.566	0.5711	++-
ENSG00000158486.12	a	g	60327.00	-1.057	0.2906	-+-
ENSG00000146731.9	a	g	60327.00	0.146	0.8837	-++
ENSG00000104368.16	a	g	60327.00	1.793	0.07303	+++
ENSG00000166710.16	a	g	60327.00	-1.174	0.2402	---
ENSG00000182831.10	a	g	60327.00	-0.872	0.3835	+-+
ENSG00000223728.3	a	g	60327.00	0.643	0.5201	++-
ENSG00000132478.8	a	g	60327.00	1.804	0.0712	+++
ENSG00000233670.6	a	g	60327.00	0.896	0.3703	+--
ENSG00000141337.11	a	g	60327.00	2.274	0.02294	+-+
ENSG00000187013.4	a	g	60327.00	0.576	0.5644	-++
ENSG00000159527.3	a	g	60327.00	0.525	0.5999	+--
ENSG00000197506.7	a	g	60327.00	-3.520	0.0004322	---
ENSG00000125851.8	a	g	60327.00	0.759	0.4479	++-
ENSG00000178573.6	a	g	60327.00	0.921	0.3571	+++
ENSG00000158683.6	a	g	60327.00	-0.279	0.7805	+--
ENSG00000112282.16	a	g	60327.00	0.815	0.4153	+++
ENSG00000234292.3	a	g	60327.00	-0.031	0.9755	--+
ENSG00000125508.3	a	g	60327.00	1.090	0.2755	-++
ENSG00000145990.9	a	g	60327.00	-0.836	0.4029	--+
ENSG00000176454.12	a	g	60327.00	-1.737	0.08233	---
ENSG00000179151.10	a	g	60327.00	-0.995	0.3198	+--
ENSG00000173950.14	a	g	60327.00	-0.484	0.6287	-+-
ENSG00000117419.13	a	g	60327.00	0.556	0.5782	-+-
ENSG00000124143.9	a	g	60327.00	0.553	0.58	+-+
ENSG00000005844.16	a	g	60327.00	-1.768	0.07707	---
ENSG00000183807.7	a	g	60327.00	1.140	0.2545	+++
ENSG00000237748.1	a	g	60327.00	0.574	0.5662	-+-
ENSG00000228674.4	a	g	60327.00	0.563	0.5733	-+-
ENSG00000185475.7	a	g	60327.00	1.178	0.2388	-++
ENSG00000105383.13	a	g	60327.00	1.301	0.1931	+++
ENSG00000164953.14	a	g	60327.00	0.750	0.453	+++
ENSG00000163904.11	a	g	60327.00	-0.515	0.6069	+--
ENSG00000137947.10	a	g	60327.00	1.079	0.2807	++-
ENSG00000145220.12	a	g	60327.00	-2.874	0.00405	---
ENSG00000163331.9	a	g	60327.00	-1.484	0.1379	---
ENSG00000120645.10	a	g	60327.00	-0.180	0.8569	-+-
ENSG00000149488.12	a	g	20104.00	-0.635	0.5255	-??
ENSG00000169946.12	a	g	60327.00	-1.263	0.2068	--+
ENSG00000078814.14	a	g	60327.00	0.431	0.6664	--+
ENSG00000181649.5	a	g	60327.00	0.492	0.623	--+
ENSG00000278746.1	a	g	60327.00	-1.075	0.2824	--+
ENSG00000101337.14	a	g	60327.00	-0.697	0.4858	-+-
ENSG00000025039.13	a	g	60327.00	-0.990	0.3224	---
ENSG00000166897.13	a	g	60327.00	0.363	0.7167	-++
ENSG00000174365.18	a	g	60327.00	0.929	0.3531	-++
ENSG00000106246.16	a	g	60327.00	1.524	0.1275	+++
ENSG00000176230.4	a	g	60327.00	-0.923	0.3559	+--
ENSG00000163694.13	a	g	60327.00	-0.471	0.6378	+--
ENSG00000146013.9	a	g	60327.00	-0.309	0.7572	+--
ENSG00000171848.12	a	g	60327.00	0.249	0.8031	+--
ENSG00000167114.11	a	g	60327.00	-0.607	0.5438	++-
ENSG00000174446.11	a	g	60327.00	0.159	0.8733	++-
ENSG00000133246.10	a	g	60327.00	1.275	0.2024	-++
ENSG00000252368.1	a	g	60327.00	1.009	0.3129	+++
ENSG00000222612.1	a	g	60327.00	0.928	0.3536	+-+
ENSG00000165606.7	a	g	60327.00	0.594	0.5525	++-
ENSG00000164306.9	a	g	60327.00	-0.911	0.3623	-+-
ENSG00000075429.7	a	g	60327.00	-0.337	0.7359	--+
ENSG00000101203.15	a	g	60327.00	-0.073	0.9417	--+
ENSG00000153832.10	a	g	60327.00	1.884	0.05954	-++
ENSG00000165410.13	a	g	60327.00	1.377	0.1684	+++
ENSG00000097007.16	a	g	60327.00	-0.399	0.6896	-++
ENSG00000182718.15	a	g	60327.00	-2.430	0.01511	---
ENSG00000242483.3	a	g	60327.00	1.127	0.2599	+++
ENSG00000102606.16	a	g	60327.00	1.142	0.2533	+++
ENSG00000106976.17	a	g	60327.00	-0.373	0.709	--+
ENSG00000104884.13	a	g	60327.00	1.445	0.1485	+++
ENSG00000162062.13	a	g	60327.00	0.085	0.9323	-++
ENSG00000126953.5	a	g	60327.00	0.200	0.8416	-++
ENSG00000165282.12	a	g	60327.00	3.048	0.002304	+++
ENSG00000147548.15	a	g	60327.00	-1.032	0.3022	--+
ENSG00000165527.6	a	g	60327.00	0.211	0.8327	+-+
ENSG00000095906.15	a	g	60327.00	-1.593	0.1112	---
ENSG00000130045.14	a	g	60327.00	-0.550	0.582	+-+
ENSG00000172575.10	a	g	60327.00	-0.476	0.6337	++-
ENSG00000113532.11	a	g	60327.00	-0.885	0.3763	+--
ENSG00000164117.11	a	g	60327.00	2.235	0.02539	+++
ENSG00000162946.19	a	g	60327.00	-0.467	0.6404	+--
ENSG00000201026.1	a	g	60327.00	0.576	0.5644	-++
ENSG00000087250.7	a	g	60327.00	-1.553	0.1204	-+-
ENSG00000197961.10	a	g	60327.00	1.031	0.3027	+-+
ENSG00000172554.10	a	g	60327.00	0.640	0.522	-++
ENSG00000208008.1	a	g	60327.00	0.401	0.6885	-++
ENSG00000207075.1	a	g	60327.00	-0.146	0.8843	++-
ENSG00000111639.6	a	g	60327.00	0.001	0.9991	-+-
ENSG00000171388.11	a	g	60327.00	-1.317	0.188	--+
ENSG00000122367.18	a	g	60327.00	0.593	0.5531	+-+
ENSG00000110811.18	a	g	60327.00	-0.180	0.8571	--+
ENSG00000255815.3	a	g	60327.00	0.341	0.7333	-++
ENSG00000213231.11	a	g	60327.00	1.414	0.1574	+++
ENSG00000165120.3	a	g	60327.00	-0.057	0.9547	-++
ENSG00000170776.18	a	g	60327.00	-2.509	0.0121	---
ENSG00000107984.8	a	g	60327.00	0.458	0.6472	+-+
ENSG00000118473.20	a	g	60327.00	-0.109	0.9132	++-
ENSG00000138193.13	a	g	60327.00	0.732	0.4642	+-+
ENSG00000189419.6	a	g	60327.00	1.281	0.2003	+++
ENSG00000177489.1	a	g	60327.00	-0.464	0.6424	-+-
ENSG00000103510.18	a	g	60327.00	-2.687	0.007206	---
ENSG00000146376.9	a	g	60327.00	-2.628	0.008595	---
ENSG00000155970.10	a	g	20104.00	-1.128	0.2591	-??
ENSG00000111832.11	a	g	60327.00	0.538	0.5906	-++
ENSG00000241246.3	a	g	60327.00	1.264	0.2062	-++
ENSG00000177885.12	a	g	60327.00	1.335	0.1817	+++
ENSG00000224186.7	a	g	60327.00	0.339	0.7344	-++
ENSG00000158731.2	a	g	60327.00	1.541	0.1233	++-
ENSG00000051009.9	a	g	60327.00	-0.920	0.3577	+--
ENSG00000203392.3	a	g	60327.00	-0.949	0.3427	+-+
ENSG00000206603.1	a	g	60327.00	1.977	0.04809	+++
ENSG00000213638.5	a	g	60327.00	1.801	0.07164	+++
ENSG00000140743.6	a	g	60327.00	0.673	0.5009	+-+
ENSG00000131711.13	a	g	60327.00	0.720	0.4713	+-+
ENSG00000114978.16	a	g	60327.00	-0.558	0.5768	+--
ENSG00000234186.2	a	g	60327.00	-0.728	0.4669	-+-
ENSG00000273710.1	a	g	60327.00	-0.118	0.9061	+--
ENSG00000198689.8	a	g	60327.00	0.517	0.6052	++-
ENSG00000115677.15	a	g	60327.00	-0.266	0.7901	-++
ENSG00000150201.13	a	g	60327.00	-1.570	0.1163	-+-
ENSG00000245680.8	a	g	60327.00	-0.323	0.7463	+--
ENSG00000102466.14	a	g	20105.00	1.538	0.1241	??+
ENSG00000029559.6	a	g	60327.00	-0.672	0.5018	---
ENSG00000138640.13	a	g	60327.00	-2.658	0.007871	---
ENSG00000183908.5	a	g	60327.00	0.243	0.8078	+--
ENSG00000082196.19	a	g	60327.00	2.919	0.003514	+++
ENSG00000168828.5	a	g	60327.00	1.132	0.2575	+++
ENSG00000198860.10	a	g	60327.00	1.939	0.05245	+++
ENSG00000148798.8	a	g	60327.00	1.418	0.1561	+++
ENSG00000132541.9	a	g	60327.00	-1.350	0.177	---
ENSG00000222706.1	a	g	60327.00	0.414	0.6791	+--
ENSG00000247077.5	a	g	60327.00	0.703	0.4823	+++
ENSG00000165688.10	a	g	60327.00	1.238	0.2157	+-+
ENSG00000130635.14	a	g	60327.00	1.057	0.2907	+++
ENSG00000135297.14	a	g	60327.00	-1.305	0.1918	---
ENSG00000267200.1	a	g	60327.00	1.392	0.1638	+++
ENSG00000145012.11	a	g	60327.00	-1.747	0.08066	--+
ENSG00000264706.2	a	g	60327.00	-1.494	0.1352	---
ENSG00000122912.13	a	g	60327.00	-0.524	0.6004	--+
ENSG00000170871.10	a	g	60327.00	1.578	0.1146	+++
ENSG00000204092.2	a	g	60327.00	-1.384	0.1664	---
ENSG00000113504.18	a	g	60327.00	-0.382	0.7028	--+
ENSG00000210082.2	a	g	60327.00	-0.626	0.531	+--
ENSG00000182667.13	a	g	60327.00	1.512	0.1305	-++
ENSG00000177542.9	a	g	60327.00	-0.205	0.8372	---
ENSG00000177098.7	a	g	60327.00	1.002	0.3166	+++
ENSG00000165757.8	a	g	60327.00	0.735	0.4625	+++
ENSG00000150867.12	a	g	60327.00	-1.422	0.1551	---
ENSG00000131828.12	a	g	60327.00	0.359	0.7196	-+-
ENSG00000141431.8	a	g	60327.00	0.160	0.8727	-+-
ENSG00000183421.10	a	g	60327.00	0.129	0.8977	+-+
ENSG00000173276.12	a	g	60327.00	2.902	0.003704	+++
ENSG00000011243.16	a	g	60327.00	2.158	0.0309	+++
ENSG00000278172.1	a	g	60327.00	0.602	0.5473	+-+
ENSG00000135048.12	a	g	60327.00	-1.680	0.09296	---
ENSG00000212165.2	a	g	60327.00	-0.103	0.9183	-+-
ENSG00000136449.12	a	g	60327.00	0.755	0.45	-+-
ENSG00000168447.9	a	g	60327.00	0.864	0.3876	+-+
ENSG00000104228.11	a	g	60327.00	-0.560	0.5752	---
ENSG00000188582.7	a	g	60327.00	0.012	0.9907	-++
ENSG00000106404.12	a	g	60327.00	-1.256	0.2091	--+
ENSG00000100290.2	a	g	60327.00	1.603	0.109	+++
ENSG00000142149.7	a	g	60327.00	-0.639	0.5231	--+
ENSG00000134569.8	a	g	60327.00	-2.781	0.005426	---
ENSG00000150093.17	a	g	60327.00	-0.696	0.4865	-++
ENSG00000109881.15	a	g	60327.00	0.899	0.3685	++-
ENSG00000184481.15	a	g	60327.00	-0.063	0.9501	+-+
ENSG00000108010.10	a	g	60327.00	0.109	0.913	-++
ENSG00000162896.5	a	g	60327.00	0.665	0.5059	+++
ENSG00000165917.8	a	g	60327.00	1.166	0.2435	+-+
ENSG00000083812.10	a	g	60327.00	-0.271	0.7861	-++
ENSG00000176092.12	a	g	60327.00	-0.415	0.6781	-+-
ENSG00000134440.10	a	g	60327.00	-1.599	0.1098	---
ENSG00000138685.11	a	g	60327.00	1.162	0.2453	-++
ENSG00000113263.11	a	g	60327.00	0.789	0.4298	+++
ENSG00000100365.13	a	g	60327.00	-0.148	0.8825	--+
