MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
ENSG00000276759.2	a	g	60327.00	-1.818	0.06906	-+-
ENSG00000048649.12	a	g	60327.00	-0.031	0.9749	-++
ENSG00000183248.10	a	g	60327.00	1.721	0.08528	+++
ENSG00000223117.1	a	g	60327.00	0.008	0.994	--+
ENSG00000136522.12	a	g	60327.00	1.821	0.06861	++-
ENSG00000160703.14	a	g	60327.00	-0.015	0.9883	+--
ENSG00000142186.15	a	g	60327.00	0.085	0.9324	-++
ENSG00000185043.9	a	g	60327.00	-0.409	0.6826	-+-
ENSG00000206150.3	a	g	60327.00	-0.336	0.737	-+-
ENSG00000243489.3	a	g	60327.00	-0.359	0.7195	--+
ENSG00000116171.15	a	g	60327.00	-1.303	0.1926	---
ENSG00000134897.12	a	g	60327.00	-0.738	0.4603	-+-
ENSG00000112773.14	a	g	60327.00	-0.197	0.8439	++-
ENSG00000078246.14	a	g	60327.00	1.419	0.1559	-++
ENSG00000120697.7	a	g	60327.00	-0.226	0.8214	--+
ENSG00000115827.12	a	g	60327.00	1.549	0.1213	+++
ENSG00000065613.12	a	g	60327.00	2.642	0.008247	+++
ENSG00000151150.19	a	g	60327.00	1.684	0.09214	+++
ENSG00000154025.14	a	g	60327.00	0.084	0.9328	++-
ENSG00000162997.14	a	g	60327.00	0.395	0.6931	-+-
ENSG00000102317.16	a	g	60327.00	5.624	1.861e-08	+++
ENSG00000142856.15	a	g	60327.00	-0.508	0.6113	+--
ENSG00000138834.11	a	g	60327.00	-1.560	0.1187	---
ENSG00000035928.13	a	g	60327.00	4.547	5.448e-06	+++
ENSG00000134909.17	a	g	60327.00	-1.231	0.2183	---
ENSG00000122678.13	a	g	60327.00	-0.512	0.6086	+--
ENSG00000188306.6	a	g	60327.00	-0.524	0.6002	-+-
ENSG00000198033.10	a	g	60327.00	0.620	0.5355	-++
ENSG00000273777.3	a	g	60327.00	-1.323	0.1857	---
ENSG00000101079.19	a	g	60327.00	-2.155	0.03115	--+
ENSG00000125691.11	a	g	60327.00	-0.510	0.6102	+--
ENSG00000142657.19	a	g	60327.00	-0.310	0.7567	+-+
ENSG00000218018.2	a	g	60327.00	-0.202	0.8401	-+-
ENSG00000269058.4	a	g	60327.00	1.077	0.2815	++-
ENSG00000047617.13	a	g	60327.00	0.209	0.8343	+--
ENSG00000143179.11	a	g	60327.00	2.232	0.02559	+++
ENSG00000116984.11	a	g	60327.00	0.272	0.7852	++-
ENSG00000241162.3	a	g	60327.00	-1.216	0.2241	--+
ENSG00000167792.10	a	g	60327.00	2.155	0.0312	+++
ENSG00000184465.14	a	g	60327.00	-0.249	0.8035	---
ENSG00000135480.13	a	g	60327.00	-2.082	0.0373	---
ENSG00000238244.3	a	g	60327.00	2.110	0.03487	+++
ENSG00000147894.13	a	g	60327.00	0.156	0.8758	+--
ENSG00000152495.9	a	g	60327.00	-0.189	0.8503	++-
ENSG00000198173.4	a	g	60327.00	-0.654	0.5131	---
ENSG00000116688.15	a	g	60327.00	2.665	0.007709	+++
ENSG00000213199.6	a	g	60327.00	-0.837	0.4026	---
ENSG00000159307.17	a	g	60327.00	1.470	0.1415	+++
ENSG00000174938.13	a	g	60327.00	-1.063	0.2877	+--
ENSG00000262180.1	a	g	60327.00	0.032	0.9747	+-+
ENSG00000042753.10	a	g	60327.00	-0.763	0.4456	-+-
ENSG00000099804.7	a	g	60327.00	-1.015	0.3103	---
ENSG00000144681.9	a	g	60327.00	-3.265	0.001094	---
ENSG00000161547.13	a	g	60327.00	0.272	0.7856	+--
ENSG00000112237.11	a	g	60327.00	2.874	0.004053	+++
ENSG00000099957.15	a	g	60327.00	0.964	0.3353	++-
ENSG00000133639.4	a	g	60327.00	-1.387	0.1654	--+
ENSG00000173239.12	a	g	60327.00	1.261	0.2074	+++
ENSG00000202389.1	a	g	60327.00	0.079	0.9367	+--
ENSG00000112062.9	a	g	60327.00	-2.161	0.03067	+--
ENSG00000165283.14	a	g	60327.00	0.430	0.6674	+--
ENSG00000073861.2	a	g	60327.00	0.221	0.8252	++-
ENSG00000166262.14	a	g	20105.00	-0.853	0.3939	??-
ENSG00000214429.3	a	g	60327.00	-0.481	0.6302	+--
ENSG00000173715.14	a	g	60327.00	0.809	0.4185	-+-
ENSG00000108389.8	a	g	60327.00	-1.786	0.07402	---
ENSG00000175471.18	a	g	60327.00	-1.443	0.1489	---
ENSG00000085117.10	a	g	60327.00	0.127	0.899	+--
ENSG00000197763.11	a	g	60327.00	2.298	0.02155	+++
ENSG00000126353.3	a	g	60327.00	0.996	0.319	+++
ENSG00000131876.15	a	g	60327.00	-0.099	0.9213	++-
ENSG00000279636.2	a	g	60327.00	0.370	0.7113	-++
ENSG00000013293.5	a	g	60327.00	0.246	0.8061	-+-
ENSG00000131203.11	a	g	60327.00	-0.627	0.5308	-+-
ENSG00000139405.14	a	g	60327.00	0.467	0.6402	-++
ENSG00000163633.9	a	g	60327.00	-1.785	0.07431	--+
ENSG00000012048.18	a	g	60327.00	-1.660	0.09692	---
ENSG00000118596.10	a	g	60327.00	0.962	0.3358	+-+
ENSG00000135870.10	a	g	60327.00	-0.265	0.791	--+
ENSG00000065989.14	a	g	60327.00	-2.906	0.003665	---
ENSG00000104081.12	a	g	60327.00	0.565	0.5719	+-+
ENSG00000118523.5	a	g	60327.00	0.482	0.6295	--+
ENSG00000243173.3	a	g	60327.00	1.620	0.1051	+-+
ENSG00000157045.7	a	g	60327.00	0.322	0.7472	-++
ENSG00000130748.6	a	g	60327.00	-0.200	0.8413	-+-
ENSG00000004777.17	a	g	60327.00	0.771	0.4409	+++
ENSG00000171574.16	a	g	60327.00	0.068	0.9456	+--
ENSG00000227423.2	a	g	60327.00	1.293	0.1961	++-
ENSG00000214274.8	a	g	60327.00	-0.101	0.9197	-+-
ENSG00000170955.9	a	g	60327.00	-1.198	0.2308	---
ENSG00000137094.13	a	g	60327.00	1.661	0.09666	+++
ENSG00000188662.6	a	g	60327.00	-0.083	0.9337	--+
ENSG00000272674.3	a	g	60327.00	0.009	0.993	++-
ENSG00000179476.6	a	g	60327.00	-1.166	0.2437	-+-
ENSG00000100379.16	a	g	60327.00	-0.800	0.4235	+--
ENSG00000103241.6	a	g	60327.00	-0.387	0.6986	--+
ENSG00000185352.8	a	g	60327.00	1.046	0.2955	+++
ENSG00000201000.1	a	g	60327.00	-0.375	0.7078	-+-
ENSG00000183067.5	a	g	60327.00	1.655	0.0979	+--
ENSG00000118518.14	a	g	60327.00	-2.714	0.006641	---
ENSG00000089685.13	a	g	60327.00	-0.028	0.9774	-++
ENSG00000131507.10	a	g	60327.00	1.108	0.268	+++
ENSG00000135862.5	a	g	60327.00	-1.184	0.2362	+--
ENSG00000120278.13	a	g	60327.00	0.871	0.3837	-++
ENSG00000165462.5	a	g	60327.00	0.803	0.4219	++-
ENSG00000174151.13	a	g	60327.00	1.832	0.06691	+-+
ENSG00000223959.7	a	g	60327.00	-0.023	0.9813	+-+
ENSG00000175727.12	a	g	60327.00	0.764	0.4447	+++
ENSG00000254658.2	a	g	60327.00	-0.336	0.7366	++-
ENSG00000175809.4	a	g	60327.00	-0.681	0.4957	---
ENSG00000111328.5	a	g	60327.00	-0.031	0.9755	-++
ENSG00000196646.10	a	g	60327.00	-0.149	0.8815	-++
ENSG00000109171.13	a	g	60327.00	0.105	0.9164	-++
ENSG00000172985.10	a	g	60327.00	0.461	0.6447	-+-
ENSG00000164430.14	a	g	60327.00	-0.790	0.4293	++-
ENSG00000213085.8	a	g	60327.00	1.875	0.06082	+++
ENSG00000160551.8	a	g	60327.00	0.277	0.7819	++-
ENSG00000168010.9	a	g	60327.00	-2.861	0.004229	--+
ENSG00000147475.13	a	g	60327.00	-3.747	0.000179	---
ENSG00000177054.12	a	g	60327.00	2.389	0.01691	+++
ENSG00000180433.4	a	g	40209.00	-0.776	0.4377	-?+
ENSG00000160908.14	a	g	60327.00	0.685	0.4931	+-+
ENSG00000222941.2	a	g	60327.00	-0.675	0.4997	++-
ENSG00000114126.16	a	g	60327.00	4.703	2.563e-06	+++
ENSG00000253313.4	a	g	60327.00	0.031	0.9749	++-
ENSG00000166444.16	a	g	60327.00	-0.933	0.351	---
ENSG00000199319.1	a	g	60327.00	0.324	0.7456	+--
ENSG00000108582.10	a	g	60327.00	-2.846	0.004423	---
ENSG00000184983.8	a	g	60327.00	-0.294	0.7691	-+-
ENSG00000110917.6	a	g	60327.00	0.867	0.3858	+-+
ENSG00000142515.13	a	g	60327.00	0.009	0.9926	++-
ENSG00000134516.14	a	g	60327.00	0.720	0.4713	+++
ENSG00000170558.7	a	g	60327.00	-1.734	0.08297	--+
ENSG00000174521.7	a	g	60327.00	-0.312	0.7552	++-
ENSG00000118369.11	a	g	60327.00	-1.347	0.1779	---
ENSG00000205358.3	a	g	60327.00	-2.364	0.01809	---
ENSG00000159479.15	a	g	60327.00	-1.428	0.1532	-+-
